event,date_track,race_time,race_number,race_title,description1,description2,description3,race_infos,nr.,paard,rijder,afstand,startnummer,startnr,box,tijd,na 1e,Hcap,prijs,COTE
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,1,Mister Bi,R. Bakker,2100,,9,,"1.15,6",,,"€ 3.000,00","2,8"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,2,Alpamayo Montana,J. de Leeuw,2100,,11,,"1.15,7",,,"€ 1.250,00","67,7"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,3,Avenir C,L.M. Wallin,2100,,1,,"1.16,2",,,"€ 750,00","11,4"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,4,Venture Boszorg,T.H. Kooyman,2100,,8,,"1.16,2",,,"€ 400,00","42,9"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,5,Andrea Swagerman,F.W. van der Blonk,2100,,6,,"1.16,4",,,"€ 250,00",40
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,6,Biscuit Dragon,A. Posthumus,2100,,4,,"1.16,8",,,"€ 200,00","46,3"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,7,Zam Avon,W.A.M. van Buytene,2100,,7,,"1.17,1",,,"€ 150,00",80
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,8,Action Invit,J.H. Mieras,2100,,2,,"1.18,6",,,"€ 0,00","35,2"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,A,Evita Slipper,N. D' Haenens,2100,,13,,,,,"€ 0,00",11
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,A,Buzzi Sild,R.L. Pools,2100,,3,,,,,"€ 0,00","8,9"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,A,Cremers Boy,S. Schoonhoven,2100,,5,,,,,"€ 0,00","36,6"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,A,Banker Transs R,J.C. Bot,2100,,10,,,,,"€ 0,00","4,4"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,A,Clap Your Hands,H. Ebbinge,2100,,14,,,,,"€ 0,00","4,6"
69513,"03-01-14, Wolvega",17:45,1,PRIX ROBERT BI (ELITE CHALLENGE),Draverij van meet. Winsom tot € 23.000.,,,Drafsport - 2100 - Autostart,U,Your a Promise,D. Minnema,2100,,12,,,,,"€ 0,00","29,3"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,1,Bas J,F.W. van der Blonk,2100,,14,,"1.14,6",,,"€ 3.000,00","4,7"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,2,Best Well,J. de Leeuw,2100,,11,,"1.14,6",,,"€ 1.250,00","3,8"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,3,Secret Boy,M. Nimczyk,2100,,12,,"1.15,0",,,"€ 750,00","31,1"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,4,Alonso Meadow,D.J. Hof,2100,,6,,"1.15,1",,,"€ 400,00","47,9"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,5,Paycheck,K.L.C. Roeges,2100,,10,,"1.15,4",,,"€ 250,00","25,2"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,6,Boucher le Blanc,D. Pennekamp,2100,,2,,"1.15,4",,,"€ 200,00","4,1"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,7,Vulcano ZR,L.P.A. Kalis,2100,,7,,"1.15,8",,,"€ 150,00","62,3"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,8,Anni Friesinger,N. Jongejans,2100,,3,,"1.16,0",,,"€ 0,00","66,8"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,A,Photo Phoenix,N. D' Haenens,2100,,9,,,,,"€ 0,00","10,7"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,A,Nembo del Sile,J.H. Mieras,2100,,1,,,,,"€ 0,00","32,2"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,A,Winston C,R. van Toor,2100,,8,,,,,"€ 0,00","66,8"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,A,Zizou AM,S. Schoonhoven,2100,,13,,,,,"€ 0,00","23,9"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,U,Zaido Dragon,R. Bakker,2100,,5,,,,,"€ 0,00","11,9"
69513,"03-01-14, Wolvega",18:15,2,PRIX DAVY BOKO (ELITE CHALLENGE),Draverij van meet. Winsom tot € 40.000.,,,Drafsport - 2100 - Autostart,U,Bruce Starlake,R.L. Pools,2100,,4,,,,,"€ 0,00","5,9"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,1,Chantal Blue,A. Posthumus,2100,,6,,"1.16,3",,,"€ 3.000,00","4,2"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,2,Calistokingsdeep,J. Westenbrink,2100,,10,,"1.16,7",,,"€ 1.250,00","23,7"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,3,Cyzarine Fortuna,W.M.J. Brouwer,2100,,13,,"1.16,9",,,"€ 750,00","11,8"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,4,Calvados Hymia,B.J. Crebas,2100,,2,,"1.17,0",,,"€ 400,00","11,8"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,5,Dindian Prince,F.W. van der Blonk,2100,,8,,"1.17,8",,,"€ 250,00","40,5"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,6,Classic Boszorg,J. de Leeuw,2100,,7,,"1.18,2",,,"€ 200,00","41,8"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,A,Cherien of Fire,R.T. de Vlieger,2100,,11,,,,,"€ 0,00",3
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,A,Bellino Deux DZ,T.H. Kooyman,2100,,9,,,,,"€ 0,00","31,3"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,A,Bishamon,D.P. Tesselaar,2100,,14,,,,,"€ 0,00",5
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,A,Dakota Elegance,H. Ebbinge,2100,,12,,,,,"€ 0,00","27,6"
69513,"03-01-14, Wolvega",18:45,3,PRIX DANAE F BOKO (MAIN WISE AS CHALLENGE),Draverij van meet. Winsom tot € 4.000. (g.l.s.),,,Drafsport - 2100 - Autostart,A,Bingo Ricardo,R.L. Pools,2100,,4,,,,,"€ 0,00","57,5"
